parameter,value,seed_index,python_seed,city_seed,best_distance,blind_rounds
blind_blend_weight,0.2500,18,61,65,15331.31669952,20
blind_blend_weight,0.2500,19,62,66,15023.35550177,30
blind_blend_weight,0.5000,0,43,47,14561.13362450,30
blind_blend_weight,0.5000,1,44,48,15366.09087125,10
blind_blend_weight,0.5000,2,45,49,15807.49198582,25
blind_blend_weight,0.5000,3,46,50,16647.84189969,10
blind_blend_weight,0.5000,4,47,51,16124.17915505,15
blind_blend_weight,0.5000,5,48,52,14831.10255567,10
blind_blend_weight,0.5000,6,49,53,15949.93711454,25
blind_blend_weight,0.5000,7,50,54,15784.03969516,20
blind_blend_weight,0.5000,8,51,55,16283.40169944,20
blind_blend_weight,0.5000,9,52,56,15746.60528987,30
blind_blend_weight,0.5000,10,53,57,15501.27674794,30
blind_blend_weight,0.5000,11,54,58,15911.19465911,10
blind_blend_weight,0.5000,12,55,59,15217.97444555,25
blind_blend_weight,0.5000,13,56,60,15662.03719002,20
blind_blend_weight,0.5000,14,57,61,15134.61269338,30
blind_blend_weight,0.5000,15,58,62,15265.46700419,10
blind_blend_weight,0.5000,16,59,63,15319.20127490,15
blind_blend_weight,0.5000,17,60,64,15363.43944484,25
blind_blend_weight,0.5000,18,61,65,15331.49117102,25
blind_blend_weight,0.5000,19,62,66,15023.35550177,30
blind_blend_weight,0.7500,0,43,47,14561.13362450,30
blind_blend_weight,0.7500,1,44,48,15443.27880999,15
blind_blend_weight,0.7500,2,45,49,15807.49198582,25
blind_blend_weight,0.7500,3,46,50,16687.15961314,15
blind_blend_weight,0.7500,4,47,51,16124.17915505,15
blind_blend_weight,0.7500,5,48,52,14970.49591107,25
blind_blend_weight,0.7500,6,49,53,15785.23240355,20
blind_blend_weight,0.7500,7,50,54,15779.08016532,25
blind_blend_weight,0.7500,8,51,55,16276.13098804,15
blind_blend_weight,0.7500,9,52,56,15755.86426605,35
blind_blend_weight,0.7500,10,53,57,15501.27674794,30
blind_blend_weight,0.7500,11,54,58,15917.51654648,15
blind_blend_weight,0.7500,12,55,59,15217.97444555,25
blind_blend_weight,0.7500,13,56,60,15662.03719002,20
blind_blend_weight,0.7500,14,57,61,15134.61269338,30
blind_blend_weight,0.7500,15,58,62,15175.41385016,15
blind_blend_weight,0.7500,16,59,63,15328.91639337,25
blind_blend_weight,0.7500,17,60,64,15374.51172609,20
blind_blend_weight,0.7500,18,61,65,15331.49117102,25
blind_blend_weight,0.7500,19,62,66,15023.35550177,30
blind_blend_weight,1.0000,0,43,47,14561.13362450,30
blind_blend_weight,1.0000,1,44,48,15673.23664838,20
blind_blend_weight,1.0000,2,45,49,15807.49198582,25
blind_blend_weight,1.0000,3,46,50,16687.15961314,15
blind_blend_weight,1.0000,4,47,51,16124.17915505,15
blind_blend_weight,1.0000,5,48,52,14970.49591107,25
blind_blend_weight,1.0000,6,49,53,16028.47227476,35
blind_blend_weight,1.0000,7,50,54,15883.47993050,20
blind_blend_weight,1.0000,8,51,55,16325.18398542,15
blind_blend_weight,1.0000,9,52,56,15755.86426605,35
blind_blend_weight,1.0000,10,53,57,15501.27674794,30
blind_blend_weight,1.0000,11,54,58,15917.51654648,15
blind_blend_weight,1.0000,12,55,59,15217.97444555,25
blind_blend_weight,1.0000,13,56,60,15662.03719002,20
blind_blend_weight,1.0000,14,57,61,15134.61269338,30
blind_blend_weight,1.0000,15,58,62,15141.42594151,20
blind_blend_weight,1.0000,16,59,63,15328.91639337,25
blind_blend_weight,1.0000,17,60,64,15648.42925596,35
blind_blend_weight,1.0000,18,61,65,15331.49117102,25
blind_blend_weight,1.0000,19,62,66,15023.35550177,30
base_pheromone,0.5000,0,43,47,14561.13362450,20
base_pheromone,0.5000,1,44,48,15242.49311543,15
base_pheromone,0.5000,2,45,49,15716.86118017,35
base_pheromone,0.5000,3,46,50,16645.40046415,15
base_pheromone,0.5000,4,47,51,16115.39537911,20
base_pheromone,0.5000,5,48,52,14828.49546656,20
base_pheromone,0.5000,6,49,53,15949.52805526,15
base_pheromone,0.5000,7,50,54,15784.03969516,25
base_pheromone,0.5000,8,51,55,16284.38856400,20
base_pheromone,0.5000,9,52,56,15849.44381579,20
base_pheromone,0.5000,10,53,57,15622.08762736,30
base_pheromone,0.5000,11,54,58,15874.95707833,25
base_pheromone,0.5000,12,55,59,15173.64919876,25
base_pheromone,0.5000,13,56,60,15601.61448732,10
base_pheromone,0.5000,14,57,61,15150.89587358,20
base_pheromone,0.5000,15,58,62,15488.01254267,30
base_pheromone,0.5000,16,59,63,15480.47971233,10
base_pheromone,0.5000,17,60,64,15571.78940586,15
base_pheromone,0.5000,18,61,65,15411.71817317,15
base_pheromone,0.5000,19,62,66,15105.27301001,20
base_pheromone,1.0000,0,43,47,14561.13362450,30
base_pheromone,1.0000,1,44,48,15366.09087125,10
base_pheromone,1.0000,2,45,49,15807.49198582,25
base_pheromone,1.0000,3,46,50,16647.84189969,10
base_pheromone,1.0000,4,47,51,16124.17915505,15
base_pheromone,1.0000,5,48,52,14831.10255567,10
base_pheromone,1.0000,6,49,53,15949.93711454,25
base_pheromone,1.0000,7,50,54,15784.03969516,20
base_pheromone,1.0000,8,51,55,16283.40169944,20
base_pheromone,1.0000,9,52,56,15746.60528987,30
base_pheromone,1.0000,10,53,57,15501.27674794,30
base_pheromone,1.0000,11,54,58,15911.19465911,10
base_pheromone,1.0000,12,55,59,15217.97444555,25
base_pheromone,1.0000,13,56,60,15662.03719002,20
base_pheromone,1.0000,14,57,61,15134.61269338,30
base_pheromone,1.0000,15,58,62,15265.46700419,10
base_pheromone,1.0000,16,59,63,15319.20127490,15
base_pheromone,1.0000,17,60,64,15363.43944484,25
base_pheromone,1.0000,18,61,65,15331.49117102,25
base_pheromone,1.0000,19,62,66,15023.35550177,30
base_pheromone,1.5000,0,43,47,14946.35541260,10
base_pheromone,1.5000,1,44,48,15366.09087125,10
base_pheromone,1.5000,2,45,49,15742.02522262,10
base_pheromone,1.5000,3,46,50,16603.64085051,25
base_pheromone,1.5000,4,47,51,16340.46057177,25
base_pheromone,1.5000,5,48,52,14831.10255567,10
base_pheromone,1.5000,6,49,53,15598.79620426,15
base_pheromone,1.5000,7,50,54,15779.08016532,20
base_pheromone,1.5000,8,51,55,16306.23714048,15
base_pheromone,1.5000,9,52,56,15746.60528987,30
base_pheromone,1.5000,10,53,57,15564.06548631,10
base_pheromone,1.5000,11,54,58,15933.56278458,25
base_pheromone,1.5000,12,55,59,15217.97444555,25
base_pheromone,1.5000,13,56,60,15662.03719002,20
base_pheromone,1.5000,14,57,61,15149.66562809,10
base_pheromone,1.5000,15,58,62,15265.46700419,10
base_pheromone,1.5000,16,59,63,15283.20999015,15
base_pheromone,1.5000,17,60,64,15348.05997208,20
base_pheromone,1.5000,18,61,65,15261.88340665,35
base_pheromone,1.5000,19,62,66,15147.30334703,10
base_pheromone,2.0000,0,43,47,14561.13362450,25
base_pheromone,2.0000,1,44,48,15252.86120860,30
base_pheromone,2.0000,2,45,49,15653.00046830,30
base_pheromone,2.0000,3,46,50,16709.43062929,30
base_pheromone,2.0000,4,47,51,16099.00255211,30
base_pheromone,2.0000,5,48,52,14831.10255567,10
base_pheromone,2.0000,6,49,53,15757.88965747,10
base_pheromone,2.0000,7,50,54,15784.03969516,20
base_pheromone,2.0000,8,51,55,16249.34122081,15
base_pheromone,2.0000,9,52,56,15746.60528987,30
base_pheromone,2.0000,10,53,57,15501.27674794,20
base_pheromone,2.0000,11,54,58,15892.01103525,20
base_pheromone,2.0000,12,55,59,15217.97444555,25
base_pheromone,2.0000,13,56,60,15683.41020619,20
base_pheromone,2.0000,14,57,61,15183.65180485,35
base_pheromone,2.0000,15,58,62,15081.75011423,5
base_pheromone,2.0000,16,59,63,15306.78516192,25
base_pheromone,2.0000,17,60,64,15400.38239583,25
base_pheromone,2.0000,18,61,65,15349.81935984,30
base_pheromone,2.0000,19,62,66,15070.44927765,25
base_pheromone,3.0000,0,43,47,14586.98794823,20
base_pheromone,3.0000,1,44,48,15559.47988831,35
base_pheromone,3.0000,2,45,49,15653.00046830,15
base_pheromone,3.0000,3,46,50,16651.98649652,30
base_pheromone,3.0000,4,47,51,16340.46057177,25
base_pheromone,3.0000,5,48,52,14782.50700980,30
base_pheromone,3.0000,6,49,53,15922.15131805,35
base_pheromone,3.0000,7,50,54,15801.73605873,10
base_pheromone,3.0000,8,51,55,16267.87071675,30
base_pheromone,3.0000,9,52,56,15746.60528987,25
base_pheromone,3.0000,10,53,57,15501.27674794,10
base_pheromone,3.0000,11,54,58,15801.41400283,30
base_pheromone,3.0000,12,55,59,15131.19268212,20
base_pheromone,3.0000,13,56,60,15566.88971112,25
base_pheromone,3.0000,14,57,61,15149.66562809,10
base_pheromone,3.0000,15,58,62,15265.46700419,10
base_pheromone,3.0000,16,59,63,15288.81520522,35
base_pheromone,3.0000,17,60,64,15324.84854606,10
base_pheromone,3.0000,18,61,65,15696.04581992,30
base_pheromone,3.0000,19,62,66,15096.97102351,20
